id_candidato,nome,siglaPartido,siglaUf,idLegislatura_x,email,titulo,codTitulo,id,uri,titulo_frente,idLegislatura_y
204533,Idilvan Alencar,PDT,CE,57,,Coordenador,14,55649,https://dadosabertos.camara.leg.br/api/v2/frentes/55649,Frente Parlamentar Mista pela Valorização do Serviço Social,57
62881,Danilo Forte,UNIÃO,CE,57,dep.daniloforte@camara.leg.br,Membro,1004,55649,https://dadosabertos.camara.leg.br/api/v2/frentes/55649,Frente Parlamentar Mista pela Valorização do Serviço Social,57
66828,Fausto Pinato,PP,SP,57,dep.faustopinato@camara.leg.br,Membro,1004,55649,https://dadosabertos.camara.leg.br/api/v2/frentes/55649,Frente Parlamentar Mista pela Valorização do Serviço Social,57
69871,Bacelar,PV,BA,57,dep.bacelar@camara.leg.br,Membro,1004,55649,https://dadosabertos.camara.leg.br/api/v2/frentes/55649,Frente Parlamentar Mista pela Valorização do Serviço Social,57
72442,Felipe Carreras,PSB,PE,57,dep.felipecarreras@camara.leg.br,Membro,1004,55649,https://dadosabertos.camara.leg.br/api/v2/frentes/55649,Frente Parlamentar Mista pela Valorização do Serviço Social,57
73486,Pompeo de Mattos,PDT,RS,57,dep.pompeodemattos@camara.leg.br,Membro,1004,55649,https://dadosabertos.camara.leg.br/api/v2/frentes/55649,Frente Parlamentar Mista pela Valorização do Serviço Social,57
73531,Ivan Valente,PSOL,SP,57,dep.ivanvalente@camara.leg.br,Membro,1004,55649,https://dadosabertos.camara.leg.br/api/v2/frentes/55649,Frente Parlamentar Mista pela Valorização do Serviço Social,57
73579,Alberto Fraga,PL,DF,57,dep.albertofraga@camara.leg.br,Membro,1004,55649,https://dadosabertos.camara.leg.br/api/v2/frentes/55649,Frente Parlamentar Mista pela Valorização do Serviço Social,57
73701,Benedita da Silva,PT,RJ,57,dep.beneditadasilva@camara.leg.br,Membro,1004,55649,https://dadosabertos.camara.leg.br/api/v2/frentes/55649,Frente Parlamentar Mista pela Valorização do Serviço Social,57
74041,Luiz Couto,PT,PB,57,dep.luizcouto@camara.leg.br,Membro,1004,55649,https://dadosabertos.camara.leg.br/api/v2/frentes/55649,Frente Parlamentar Mista pela Valorização do Serviço Social,57
74057,Alice Portugal,PCdoB,BA,57,dep.aliceportugal@camara.leg.br,Membro,1004,55649,https://dadosabertos.camara.leg.br/api/v2/frentes/55649,Frente Parlamentar Mista pela Valorização do Serviço Social,57
74090,Átila Lins,PSD,AM,57,dep.atilalins@camara.leg.br,Membro,1004,55649,https://dadosabertos.camara.leg.br/api/v2/frentes/55649,Frente Parlamentar Mista pela Valorização do Serviço Social,57
74095,Pauderney Avelino,UNIÃO,AM,57,dep.pauderneyavelino@camara.leg.br,Membro,1004,55649,https://dadosabertos.camara.leg.br/api/v2/frentes/55649,Frente Parlamentar Mista pela Valorização do Serviço Social,57
