,ano,mes,tipoDespesa,codDocumento,tipoDocumento,codTipoDocumento,dataDocumento,numDocumento,valorDocumento,urlDocumento,nomeFornecedor,cnpjCpfFornecedor,valorLiquido,valorGlosa,numRessarcimento,codLote,parcela,indice
0,2024,12,COMBUSTÍVEIS E LUBRIFICANTES.,7850706,Nota Fiscal Eletrônica,4,2024-12-18T09:35:16,441145,329.11,http://www.camara.leg.br/cota-parlamentar/nota-fiscal-eletronica?ideDocumentoFiscal=7850706,031 - 302 NORTE - CASCOL COMBUSTIVEIS PARA VEICULOS LTDA,00306597003112,329.11,0.0,,2100003,0,204379
1,2024,12,COMBUSTÍVEIS E LUBRIFICANTES.,7851695,Nota Fiscal Eletrônica,4,2024-12-21T18:43:23,35728,291.05,http://www.camara.leg.br/cota-parlamentar/nota-fiscal-eletronica?ideDocumentoFiscal=7851695,AUTO POSTO 303 NORTE LTDA,38194212000120,291.05,0.0,,2100587,0,204379
2,2024,12,COMBUSTÍVEIS E LUBRIFICANTES.,7851734,Nota Fiscal Eletrônica,4,2024-12-09T19:46:34,38867,275.97,http://www.camara.leg.br/cota-parlamentar/nota-fiscal-eletronica?ideDocumentoFiscal=7851734,AUTO POSTO 303 NORTE LTDA,38194212000120,275.97,0.0,,2100587,0,204379
3,2024,12,COMBUSTÍVEIS E LUBRIFICANTES.,7851725,Nota Fiscal Eletrônica,4,2024-12-27T13:27:50,40110,230.67,http://www.camara.leg.br/cota-parlamentar/nota-fiscal-eletronica?ideDocumentoFiscal=7851725,AUTO POSTO 303 NORTE LTDA,38194212000120,230.67,0.0,,2100587,0,204379
4,2024,12,COMBUSTÍVEIS E LUBRIFICANTES.,7846605,Nota Fiscal Eletrônica,4,2024-12-07T10:49:50,44529,250.04,http://www.camara.leg.br/cota-parlamentar/nota-fiscal-eletronica?ideDocumentoFiscal=7846605,AUTO POSTO 303 NORTE LTDA,38194212000120,250.04,0.0,,2097817,0,204379
5,2024,12,COMBUSTÍVEIS E LUBRIFICANTES.,7851732,Nota Fiscal Eletrônica,4,2024-12-17T08:18:09,44968,293.12,http://www.camara.leg.br/cota-parlamentar/nota-fiscal-eletronica?ideDocumentoFiscal=7851732,AUTO POSTO 303 NORTE LTDA,38194212000120,293.12,0.0,,2100587,0,204379
6,2024,12,COMBUSTÍVEIS E LUBRIFICANTES.,7853304,Nota Fiscal Eletrônica,4,2024-12-28T07:57:08,48972,294.96,http://www.camara.leg.br/cota-parlamentar/nota-fiscal-eletronica?ideDocumentoFiscal=7853304,AUTO POSTO 303 NORTE LTDA,38194212000120,294.96,0.0,,2101500,0,204379
7,2024,12,COMBUSTÍVEIS E LUBRIFICANTES.,7846601,Nota Fiscal Eletrônica,4,2024-12-15T22:29:45,60611,330.0,http://www.camara.leg.br/cota-parlamentar/nota-fiscal-eletronica?ideDocumentoFiscal=7846601,AUTO POSTO DE COMBUSTIVEL FLAMINGO LTDA,36180754000118,330.0,0.0,,2097817,0,204379
8,2024,10,DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.,7846520,Nota Fiscal,0,2024-12-12T00:00:00,19,2000.0,https://www.camara.leg.br/cota-parlamentar/documentos/publ/3308/2024/7846520.pdf,C.C.D. DE SOUZA,08116373000134,2000.0,0.0,,2097785,0,204379
9,2024,11,DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.,7846524,Nota Fiscal,0,2024-12-12T00:00:00,20,2000.0,https://www.camara.leg.br/cota-parlamentar/documentos/publ/3308/2024/7846524.pdf,C.C.D. DE SOUZA,08116373000134,2000.0,0.0,,2097788,0,204379
